东方虬	dongfangqiu[["qts"]];dongfangqiu2[["qts"]]	f	8
刘义	liuyi5[["qts"]];liuyi[["qts"]]	f	2
刘皂	liuzao2[["qts"]];liuzao[["qts"]]	f	6
常衮	changgun2[["qts"]];changgun[["qts"]]	f	13
张修之	zhangxiuzhi2[["qts"]];zhangxiuzhi[["qts"]]	f	2
张继	zhangji[["qts", "songci", "tang"]];zhangji2[["qts"]]	t	588
权德舆	quandeyu[["qts", "tang"]];quandeyu2[["qts"]]	f	396
杨凌	yangling[["qts"]];yangling2[["qts"]]	f	21
欧阳衮	ouyanggun[["qts"]];ouyanggun2[["qts"]]	f	10
王益	wangyi[["qts", "songci"]];wangyi2[["qts", "songci"]]	t	30
罗衮	luogun[["qts"]];luogun2[["qts"]]	f	5
赵居贞	zhaojuzhen[["qts"]];zhaojuzhen2[["qts"]]	f	3
韩愈	hanyu[["qts", "songci", "tang"]];hanyu2[["qts"]]	t	471
顾况	gukuang2[["qts"]];gukuang[["qts", "tang"]]	f	270
