old_id	new_id
tang-0001	tang-00000001
tang-0002	tang-00000002
tang-0003	tang-00000003
tang-0004	tang-00000004
tang-0005	tang-00000005
tang-0006	tang-00000006
tang-0007	tang-00000007
tang-0008	tang-00000008
tang-0009	tang-00000009
tang-0010	tang-0000000a
tang-0011	tang-0000000b
tang-0012	tang-0000000c
tang-0013	tang-0000000d
tang-0014	tang-0000000e
tang-0015	tang-0000000f
tang-0016	tang-0000000g
tang-0017	tang-0000000h
tang-0018	tang-0000000i
tang-0019	tang-0000000j
tang-0020	tang-0000000k
tang-0021	tang-0000000l
tang-0022	tang-0000000m
tang-0023	tang-0000000n
tang-0024	tang-0000000o
tang-0025	tang-0000000p
tang-0026	tang-0000000q
tang-0027	tang-0000000r
tang-0028	tang-0000000s
tang-0029	tang-0000000t
tang-0030	tang-0000000u
tang-0031	tang-0000000v
tang-0032	tang-0000000w
tang-0033	tang-0000000x
tang-0034	tang-0000000y
tang-0035	tang-0000000z
tang-0036	tang-00000010
tang-0037	tang-00000011
tang-0038	tang-00000012
tang-0039	tang-00000013
tang-0040	tang-00000014
tang-0041	tang-00000015
tang-0042	tang-00000016
tang-0043	tang-00000017
tang-0044	tang-00000018
tang-0045	tang-00000019
tang-0046	tang-0000001a
tang-0047	tang-0000001b
tang-0048	tang-0000001c
tang-0049	tang-0000001d
tang-0050	tang-0000001e
tang-0051	tang-0000001f
tang-0052	tang-0000001g
tang-0053	tang-0000001h
tang-0054	tang-0000001i
tang-0055	tang-0000001j
tang-0056	tang-0000001k
tang-0057	tang-0000001l
tang-0058	tang-0000001m
tang-0059	tang-0000001n
tang-0060	tang-0000001o
tang-0061	tang-0000001p
tang-0062	tang-0000001q
tang-0063	tang-0000001r
tang-0064	tang-0000001s
tang-0065	tang-0000001t
tang-0066	tang-0000001u
tang-0067	tang-0000001v
tang-0068	tang-0000001w
tang-0069	tang-0000001x
tang-0070	tang-0000001y
tang-0071	tang-0000001z
tang-0072	tang-00000020
tang-0073	tang-00000021
tang-0074	tang-00000022
tang-0075	tang-00000023
tang-0076	tang-00000024
tang-0077	tang-00000025
tang-0078	tang-00000026
tang-0079	tang-00000027
tang-0080	tang-00000028
tang-0081	tang-00000029
tang-0082	tang-0000002a
tang-0083	tang-0000002b
tang-0084	tang-0000002c
tang-0085	tang-0000002d
tang-0086	tang-0000002e
tang-0087	tang-0000002f
tang-0088	tang-0000002g
tang-0089	tang-0000002h
tang-0090	tang-0000002i
tang-0091	tang-0000002j
tang-0092	tang-0000002k
tang-0093	tang-0000002l
tang-0094	tang-0000002m
tang-0095	tang-0000002n
tang-0096	tang-0000002o
tang-0097	tang-0000002p
tang-0098	tang-0000002q
tang-0099	tang-0000002r
tang-0100	tang-0000002s
tang-0101	tang-0000002t
tang-0102	tang-0000002u
tang-0103	tang-0000002v
tang-0104	tang-0000002w
tang-0105	tang-0000002x
tang-0106	tang-0000002y
tang-0107	tang-0000002z
tang-0108	tang-00000030
tang-0109	tang-00000031
tang-0110	tang-00000032
tang-0111	tang-00000033
tang-0112	tang-00000034
tang-0113	tang-00000035
tang-0114	tang-00000036
tang-0115	tang-00000037
tang-0116	tang-00000038
tang-0117	tang-00000039
tang-0118	tang-0000003a
tang-0119	tang-0000003b
tang-0120	tang-0000003c
tang-0121	tang-0000003d
tang-0122	tang-0000003e
tang-0123	tang-0000003f
tang-0124	tang-0000003g
tang-0125	tang-0000003h
tang-0126	tang-0000003i
tang-0127	tang-0000003j
tang-0128	tang-0000003k
tang-0129	tang-0000003l
tang-0130	tang-0000003m
tang-0131	tang-0000003n
tang-0132	tang-0000003o
tang-0133	tang-0000003p
tang-0134	tang-0000003q
tang-0135	tang-0000003r
tang-0136	tang-0000003s
tang-0137	tang-0000003t
tang-0138	tang-0000003u
tang-0139	tang-0000003v
tang-0140	tang-0000003w
tang-0141	tang-0000003x
tang-0142	tang-0000003y
tang-0143	tang-0000003z
tang-0144	tang-00000040
tang-0145	tang-00000041
tang-0146	tang-00000042
tang-0147	tang-00000043
tang-0148	tang-00000044
tang-0149	tang-00000045
tang-0150	tang-00000046
tang-0151	tang-00000047
tang-0152	tang-00000048
tang-0153	tang-00000049
tang-0154	tang-0000004a
tang-0155	tang-0000004b
tang-0156	tang-0000004c
tang-0157	tang-0000004d
tang-0158	tang-0000004e
tang-0159	tang-0000004f
tang-0160	tang-0000004g
tang-0161	tang-0000004h
tang-0162	tang-0000004i
tang-0163	tang-0000004j
tang-0164	tang-0000004k
tang-0165	tang-0000004l
tang-0166	tang-0000004m
tang-0167	tang-0000004n
tang-0168	tang-0000004o
tang-0169	tang-0000004p
tang-0170	tang-0000004q
tang-0171	tang-0000004r
tang-0172	tang-0000004s
tang-0173	tang-0000004t
