key	name	domains	declared	refined	uncertain	count
songci:qianweiyan	钱惟演	songci	song	wudai	1	2
songci:weizhuang	韦庄	songci	song	wudai	1	1
qts:daiguangyi	戴光乂	qts	tang	-	0	1
qts:fanchen	樊忱	qts	tang	-	0	1
qts:fanghujushi	方壶居士	qts	tang	-	0	2
qts:hexiang	何象	qts	tang	-	0	1
qts:hongzhoujiangjun	洪州将军	qts	tang	-	0	1
qts:jueyin	觉隐	qts	tang	-	0	1
qts:linyun	林晕	qts	tang	-	0	1
qts:lizhenbai	李贞白	qts	tang	-	0	6
qts:lizhi3	李挚	qts	tang	-	0	1
qts:lujingchu	陆景初	qts	tang	-	0	1
qts:mourong	牟融	qts	tang	-	0	69
qts:ninghuajiulongjinshi	宁化九龙进士	qts	tang	-	0	1
qts:peixing	裴铏	qts	tang	-	0	1
qts:renhua	任华	qts	tang	-	0	3
qts:tianjiaoyouren	天峤游人	qts	tang	-	0	1
qts:wangjian	王建	qts	tang	-	0	580
qts:wanglin	王璘	qts	tang	-	0	1
qts:wangshinv	王氏女	qts	tang	-	0	1
qts:wubin	伍彬	qts	tang	-	0	2
qts:wuyi2	吴翊	qts	tang	-	0	3
qts:xiaogou	萧遘	qts	tang	-	0	4
qts:xuzhongya	徐仲雅	qts	tang	-	0	10
qts:yifengongzhu	宜芬公主	qts	tang	-	0	1
qts:zhangjiazhen	张嘉贞	qts	tang	-	0	4
qts:zhangpin	张𧏖	qts	tang	-	0	107
qts:zhengshiyi	郑世翼	qts	tang	-	0	6
songci:cengkaiguo	曾开国	songci	song	-	1	1
songci:daipingzhi	戴平之	songci	song	-	1	1
songci:licongzhou	李从周	songci	song	-	1	10
songci:lishi2	李氏2	songci	song	-	1	1
songci:litingrui	黎廷瑞	songci	song	-	1	32
songci:liuchang	刘敞	songci	song	-	1	2
songci:luoxixi	罗惜惜	songci	song	-	1	1
songci:lvqiucigao	闾丘次杲	songci	song	-	1	1
songci:suzhongji	苏仲及	songci	song	-	1	1
songci:xiaoyunzhi	萧允之	songci	song	-	1	6
songci:yuanjiang	元绛	songci	song	-	1	2
songci:zhangshi	张时	songci	song	-	1	1
songci:zhaocaiqing	赵才卿	songci	song	-	1	1
songci:zhouzizhi	周紫芝	songci	song	-	1	156
