author	title	源繁体首行	简体首行	form
王維	贈裴迪	不相見，不相見來久。	不相见，不相见来久。	null
劉希夷	嵩嶽聞笙	月出嵩山東，月明山益空。	月出嵩山东，月明山益空。	null
高適	重陽	節物驚心兩鬢華，東籬空繞未開花。	节物惊心两鬓华，东篱空绕未开花。	qiyan-lvshi
張祜	江南雜題三十首 其二十	余生唯愛酒，師長是山翁。	余生唯爱酒，师长是山翁。	wuyan-lvshi
來鵠	病起	春初一臥到秋深，不見紅芳與綠陰。	春初一卧到秋深，不见红芳与绿阴。	qiyan-lvshi
李白	長相思 一	日色已盡花含煙，月明欲素愁不眠。	日色已尽花含烟，月明欲素愁不眠。	null
薛能	新雪八韻	大雪滿初晨，開門萬象新。	大雪满初晨，开门万象新。	null
僧貫休	鼓吹曲辭 戰城南二首 二	磧中有陰兵，戰馬時驚蹶。	碛中有阴兵，战马时惊蹶。	wuyan-lvshi
劉禹錫	同樂天和微之深春二十首 三	何處深春好，春深執政家。	何处深春好，春深执政家。	wuyan-lvshi
寒山	詩三百三首 三十一	杳杳寒山道，落落冷澗濱。	杳杳寒山道，落落冷涧滨。	wuyan-lvshi
貫休	落花	蝶醉蜂癡一簇香，繡葩紅蔕墮殘芳。	蝶醉蜂痴一簇香，绣葩红蔕堕残芳。	qiyan-jueju
明皇帝	左丞相說右丞相璟太子少傅乾曜同日上官命宴東堂賜詩	赤帝收三傑，黃軒舉二臣。	赤帝收三杰，黄轩举二臣。	null
楊凝	送客往鄜州	新參將相事營平，錦帶騂弓結束輕。	新参将相事营平，锦带骍弓结束轻。	qiyan-lvshi
寒山	詩三百三首 八十一	碧澗泉水清，寒山月華白。	碧涧泉水清，寒山月华白。	wuyan-jueju
延壽	永明山居詩（六十九首） 六	達來何處更追尋，放曠誰論古與今。	达来何处更追寻，放旷谁论古与今。	qiyan-lvshi
李白	清平樂 二	禁闈秋夜，月探金窗罅。	禁闱秋夜，月探金窗罅。	null
陸希聲	陽羨雜詠十九首 李徑	一徑穠芳萬蘂攢，風吹雨打未摧殘。	一径秾芳万蘂攒，风吹雨打未摧残。	qiyan-jueju
馬戴	失意書懷呈知己	直道何由啓聖君，非才誰敢議論文。	直道何由启圣君，非才谁敢议论文。	qiyan-lvshi
王梵志	七九	見埿須避道，莫入污却鞋。	见埿须避道，莫入污却鞋。	null
雍裕之	早蟬	一聲清溽暑，幾處促流年。	一声清溽暑，几处促流年。	wuyan-jueju
李商隱	昭肅皇帝挽歌辭三首 二	玉塞驚宵柝，金橋罷舉烽。	玉塞惊宵柝，金桥罢举烽。	wuyan-lvshi
韓翃	送客歸廣平	家在趙邯鄲，歸心輙自歡。	家在赵邯郸，归心輙自欢。	wuyan-lvshi
高適	自淇涉黃河途中作十三首 二	清晨泛中流，羽族滿汀渚。	清晨泛中流，羽族满汀渚。	wuyan-lvshi
劉禹錫	送僧方及南謁柳員外	昔事廬山遠，精舍虎溪東。	昔事庐山远，精舍虎溪东。	null
白居易	贈王山人	玉芝觀裏王居士，服氣餐霞善養身。	玉芝观里王居士，服气餐霞善养身。	qiyan-lvshi
臨淄縣主	與獨孤穆冥會詩 二	皇天昔降禍，隋室若綴旒。	皇天昔降祸，隋室若缀旒。	null
張祜	遊蔚過昭陵十六韻	天意亡隋日，人心啓聖年。	天意亡隋日，人心启圣年。	null
杜牧	寄題甘露寺北軒	曾向蓬萊宮裏行，北軒闌檻最留情。	曾向蓬莱宫里行，北轩阑槛最留情。	qiyan-lvshi
韓翃	題蘇許公林亭	平津東閣在，別是竹林期。	平津东阁在，别是竹林期。	wuyan-lvshi
溫庭筠	橫吹曲辭 雍臺歌	太子池南樓百尺，八窗新樹疎簾隔。	太子池南楼百尺，八窗新树疎帘隔。	qiyan-lvshi
劉滄	晚秋野望	秋盡郊原情自哀，菊花寂寞晚仍開。	秋尽郊原情自哀，菊花寂寞晚仍开。	qiyan-lvshi
陳光	下第商山對緋桃	半夜東風力，霞光一片新。	半夜东风力，霞光一片新。	null
許渾	韶州送竇司直北歸	江曲山如畫，貪程亦駐舟。	江曲山如画，贪程亦驻舟。	wuyan-lvshi
鄭谷	將之瀘郡旅次遂州遇裴晤員外謫居於此話舊淒涼因寄二首 一	誰解登高問上玄，謫仙何事謫詩仙。	谁解登高问上玄，谪仙何事谪诗仙。	qiyan-lvshi
李端	送馬尊師	南入商山松路深，石牀溪水晝陰陰。	南入商山松路深，石床溪水昼阴阴。	qiyan-lvshi
白居易	逢舊	久別偶相逢，俱疑是夢中。	久别偶相逢，俱疑是梦中。	wuyan-jueju
曹鄴	趙城懷古	邯鄲舊公子，騎馬又鳴珂。	邯郸旧公子，骑马又鸣珂。	null
王建	傷近者不見	離人隔中庭，幸不爲遠征。	离人隔中庭，幸不为远征。	wuyan-lvshi
王鐸	和于興宗登越王樓詩	謝眺題詩處，危樓壓郡城。	谢眺题诗处，危楼压郡城。	wuyan-lvshi
菩提達摩	讖 七	起自求無（《天聖廣燈錄》作「不」）碍，（有一沙彌，年十四，名道信，來禮拜問：「唯願和尚，教某甲解脫法門。	起自求无（《天圣广灯录》作「不」）碍，（有一沙弥，年十四，名道信，来礼拜问：「唯愿和尚，教某甲解脱法门。	null
