author	tune(title)	首行
赵鼎	满庭芳	靡靡流光，凄凄风露，小园草木初凋。
向子諲	卜算子	时菊碎榛丛，地僻柴门静。
叶梦得	浣溪沙	荷叶荷花水底天。
周密	忆旧游	记移灯翦雨，换火篝香，去岁今朝。
贺铸	临江仙	暂假临淮东道主，每逃歌舞华筵。
李曾伯	水龙吟	几番南极星边，樽前常借南枝寿。
晏殊	破阵子	忆得去年今日，黄花已满东篱。
袁去华	东坡引	陇头梅半吐。
柳永	玉楼春	凤楼郁郁呈嘉瑞。
杨无咎	人月圆	风和日薄馀烟嫩，测测透鲛绡。
无名氏	南歌子	席近浑如远，帘高故放低。
萧廷之	南乡子	生甲更生庚。
卢炳	谒金门	春寂寂。
刘克庄	忆秦娥	梅谢了。
高观国	诉衷情	西楼杨柳未胜烟。
张继先	望江南・忆江南	西源好，岩馆凿松厓。
赵缩手	浪淘沙	损屋一间儿。
何澹	鹧鸪天	好景良辰造物悭。
黄机	鹧鸪天	柳际梅边腊雪乾。
高观国	留春令	粉绡轻试，绿裙微褪，吴姬娇小。
晏殊	渔家傲	荷叶初开犹半卷。
卫宗武	酹江月・念奴娇	露华凝聚，夜更长、寒压一床衾重。
葛长庚	汉宫春	潇洒江梅，似玉妆珠缀，密蕊疏枝。
吴元可	凤凰台上忆吹箫	更不成愁，何曾是醉，豆花雨后轻阴。
杨无咎	朝中措	杯盘狼藉烛参差。
